Utterance,Emotion,Cause
"My new puppy keeps pooping in the house. We let him out and he poops outside too, but I'm so tired of stepping in dog poo at 3am!",__annoyed__,irritated
My dog pooped on the floor. I had let her out several times and she still decided to use the house as her bathroom.,__annoyed__,irritated
My cat last night wouldn't stop trying to get me to play with her. She kept jumping in the bed and meowing!,__annoyed__,irritated
"I was trying to take a nap, but my cat kept on trying to play with my head.",__annoyed__,irritated
My cat keeps climbing up the curtains in my room. I really wish he would stop.,__annoyed__,irritated
Im trying to get some work done and my dog just wants to play! I love him to death but he needs to be independent at times too!,__annoyed__,irritated
My dog keeps attempting to chew up my shoes no matter where I put them! It's like he is hunting them.,__annoyed__,irritated
my cat vomited in the floor and i stepped in it!,__annoyed__,irritated
"My dog refuses to eat the food I bought for him. I bought a huge bag of it, so it's rather irritating.",__annoyed__,irritated
"I left my dog alone in the house when I went to get the mail. While I was gone she got in the cat box and ate the cat poop, super gross.",__disgusted__,irritated
"My dog puked on the carpet a few weeks ago, it was disgusting.",__disgusted__,irritated
I came home yesterday to dog poop everywhere!,__disgusted__,irritated
One time my brother left my nephew's dirty diaper on the couch and I caught the dog trying to eat it. It was so gross.,__disgusted__,irritated
One time I saw my dog try to eat my nephew's dirty diaper. It was really gross.,__disgusted__,irritated
My cat was playing with a toy and decided to bring it to me. It was a dead mouse!,__disgusted__,irritated
My cat puked up a hairball this morning and I had to clean it up.,__disgusted__,irritated
I was dogsitting for my dad. I had to clean up dog poop around 10 times while I was there!,__disgusted__,irritated
I was outside with my dog and she went to the bathroom. A few minutes later she tried to eat her poo,__disgusted__,irritated
My cat peed on my bath mat yesterday. I didn't realize it until I stepped out of the shower today and it was already wet.,__disgusted__,irritated
I took my dog to meet my husband's sisters. It did not go well!,__embarrassed__,irritated
I was furious when my dog ate the wires to my Television.,__furious__,irritated
I woke up and I found out that my cat had destroyed my shoes! I was SO mad.,__furious__,irritated
When my cat broke my mothers urn I was so mad for the longest time. It hurt so much and mad me so mad.,__furious__,irritated
My dog go into the trash can and drug it all over the house. I am so mad right now!,__furious__,irritated
My dog chewed my favorite pair of shoes last week I was so irate with her.,__furious__,irritated
We had a puppy going through the chewing stage. I came home from the grocery store to find that he had taken the couch cushions off of the couch and chewed through the center!,__furious__,irritated
I was driving to work yesterday and a driver beside opened their door at a stop light and threw up everywhere. It was so nasty I almost threw up.,__disgusted__,irritated
My friend stole my laptop as a prank and gave it back by the end of the day.,__angry__,irritated
I'm very annoyed because my friend didn't give me my money back.,__annoyed__,irritated
My friend is so nosy.,__annoyed__,irritated
"I was headed to a rave with a small group of friends. When we reached our last destination before the party, one of the people who was supposed to go called and told us she would be there shortly. We ended up waiting several hours only for her not to show up.",__annoyed__,irritated
A friend of mine borrowed my lawn mower. He ended up bringing it back broken.,__annoyed__,irritated
One day I was talking to a friend. They kept talking about how smart they were compared to other people. It was really annoying.,__annoyed__,irritated
I had a few friends over recently. One of my friends brought a guest who puked all over my carpet. it was gross.,__disgusted__,irritated
"My friend asked me to help clean his grandma's house after she had died. She was a hoarder, and kept 10 cats in the house with her. The house was covered in paper, bugs and cat feces.",__disgusted__,irritated
i was so grossed out when a friend of mine threw up on me at a party. i stood there not knowing how to react for a moment.,__disgusted__,irritated
I was so grossed out when this friend of mine threw up on me. We were at a party and he had too much to drink.,__disgusted__,irritated
One time I lent my car to a friend. He drove around drunk and totaled it.,__furious__,irritated
One time I borrowed a book from the library. I left it outside one day and it got rained on.,__ashamed__,irritated
"My step dad showed me his cut he got while working on his boat. I could see his muscle fibers underneath, ugh.",__disgusted__,irritated
My parents always argue and it pisses me off!,__angry__,irritated
I let my dad borrow my car and he got in an accident. It made my insurance rate increase.,__angry__,irritated
"My grandma threw out my high school yearbooks. I am not overly nostalgic about high school or anything but it made me kind of mad, they can't be replaced.",__annoyed__,irritated
I was angry when my son destroyed my car,__angry__,irritated
I just found a bunch of random toys in the catch of the sink of my kids bathroom. There going to have some explaining to do when they get home.,__angry__,irritated
"i hate when my kids leave their clothes all over the floor, i punish their video games but they still manage to leave their clothes on the floor",__angry__,irritated
It really bothers me that my son keeps putting dirty socks in his toy box. No matter what I have tried he still does it.,__annoyed__,irritated
"I work from home, sometimes my daughter will bug me intentionally to get a rise out of me, it can be bothersome.",__annoyed__,irritated
I took my kid's phone away as punishment for getting on the phone late at night. She found the phone and was watching YouTube. She needs to start preparing to get up early for school.,__annoyed__,irritated
I have been on my son to start taking a more active role everyday life stuff like mainting a sleep scedule. After weeks of pushing the issue he still hasn't done so.,__disappointed__,irritated
I was trying to sleep train my son but i failed,__disappointed__,irritated
"I am in the process of potty training my daughter, but when we go somewhere she still wears diapers. We we at church the other day, and she took her diaper off right in the middle of service. Thank goodness, she had on a long dress and I brought extra diapers.",__embarrassed__,irritated
"Sometimes when I am out in public, my son throws a tantrum. Every now and then he uses curse words and he is only 5!",__embarrassed__,irritated
My daughter recently broke curfew by three hours!,__furious__,irritated
I found drugs in my son's room. I am beyond infuriated!,__furious__,irritated
"My child sneaked in my room to get the Xbox controller while I was sleeping. The night before, I had grounded her.",__furious__,irritated
My daughter was running through the house like usual the other day. She tripped on my laptop cord and pulled it off the table and the screen cracked. I was upset.,__angry__,irritated
One time I stayed at a friend's house for the weekend. When I got home I discovered that my brothers had destroyed my bedroom,__angry__,irritated
"i hate when my sister snores at night she never lets me sleep, but i know it is not her fault i just get really angry",__angry__,irritated
One time my sister kept playing a song I hated over and over again. I couldn't get it out of my head for a week,__annoyed__,irritated
it really annoys me wheen my little brother throws food on the table and eats with his mouth open just to bothern me,__annoyed__,irritated
My sister kept repeating a few seconds of a song on her laptop and I could hear it from my room. It drove me bonkders,__annoyed__,irritated
My sister in law is always thinking of herself and not taking anyone else's schedules into account.,__annoyed__,irritated
My sister threw up the other day and made a huge mess.,__disgusted__,irritated
"My older sister stole my younger brother's iPod touch to pawn. I was so furious, especially because he's the sweetest most innocent kid.",__angry__,irritated
I was so furious when my brother lit a firecracker after tying it on our dog's tail. I was red with anger.,__angry__,irritated
One time my brother was playing music really loud while I was trying to study. It made it hard for me to focus,__annoyed__,irritated
I bought iced coffee and my brother drank it. I was looking forward to drinking it in the morning.,__annoyed__,irritated
my little brother dumped a glass of water on me while i was sleeping just because we are in a prank war,__furious__,irritated
I was so angry when my brother tied a firecracker to our dog's tail. I went straight ahead and gave him a punch.,__furious__,irritated
I was so angry when i saw my brother lighting a firecracker tied to my dog's tail. i have never been that angry in my life.,__furious__,irritated
Cousin carelessy broke my hammock,__furious__,irritated
My sister accidentally broke a vase of mine yesterday! I was super upset!,__furious__,irritated
I'm so frustrated with my husband. He dismantled the bathroom to do repairs and still hasn't completed them six months later!,__angry__,irritated
My husband ate the last of the bread and didn't tell me. He ruined my entire dinner plan,__angry__,irritated
"I've been so upset lately, the house has been a mess and my husband hasn't been helping clean.",__angry__,irritated
"Ugh, I'm so annoyed. My husband went out with his friends again, the third time this week. I'm exhausted watching my daughter alone all the time.",__jealous__,irritated
"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.",__afraid__,irritated
A customer is refusing to pay a bill because they claim it has already been paid but cannot provide any proof of doing so.,__angry__,irritated
"I took my car to my mechanic, who I thought I could trust. He quoted me $1000 in parts and labor. I took it to another mechanic and he fixed it on the spot for $100.",__angry__,irritated
was travelling 14 hours internationally. First flight got delayed and the airline would not apologize and provide altenative,__angry__,irritated
"One day my debit card suddenly stopped working.The fraud prevention said it was the bank, and the bank said it was fraud prevention. After trying to use it again, I went back to the bank and was informed they would need to send me a new card.",__angry__,irritated
"I love streaming services. However, I'm annoyed by the lack of movies I want to watch without having to pay extra.",__annoyed__,irritated
I was annoyed when my favorite show wasn't on,__annoyed__,irritated
I had a doctors appointment today and I had to wait over an hour of my appointment time before I saw the doctor.,__annoyed__,irritated
I had to wait in line at the store for 15 minutes the other day. There was only one cashier. I was so mad.,__annoyed__,irritated
"I had a doctors appointment at 9 am, I had to wait an hour and a half to even start my appointment.",__annoyed__,irritated
My bank won't stop calling me about a mortgage.,__annoyed__,irritated
I'm getting very frustrated with how often my bank calls me. I prequalified for a mortgage on the website last week and they've called me 3 times a day ever since.,__annoyed__,irritated
"I went to a restaurant that had call ahead seating. I called ahead and was put on the wait list. We arrived 10 minutes later as directed. However, we still have to wait over 45 minutes for our table.",__annoyed__,irritated
I coupon at groceries stores on a regular basis. It is really frustrating when the cashier does not understand coupons. Sometimes I feel like the companies should train their employees better when it comes to coupons.,__annoyed__,irritated
"At dinner the other night, my family ordered three diet cokes. They all came out a different shade from dark to light. I was pretty concerned with the quality of the drinks when they were delivered.",__apprehensive__,irritated
i went all the way to that whole foods store and they didn't have ground bison,__disappointed__,irritated
"I paid $1000 for a mystery box on eBay. It said it would be filled with all sorts of cool and expensive items. When I opened it, it was nothing but literal garbage.",__disappointed__,irritated
I was really lookingforward to trying this new resturant that opened up down the road. They were terrible! I was so upset.,__disappointed__,irritated
"I spent 20 dollars on a piece of cheese cake, I thought it would blow my mind but it was dry and barely editable. Talk about a let down.",__disappointed__,irritated
"I bought tickets to an expensive concert ($50) that a friend and I planned to attend. The day of the concert the show was rained out, and no one was refunded.",__disappointed__,irritated
I went out to dinner the other day. The food was subpar and the service wasn't very good.,__disappointed__,irritated
I bought a cake from the store and it ended up tasting terrible.,__disappointed__,irritated
An online payment distributor won't instantly verify my bank account,__disappointed__,irritated
I was so hungry for lunch today I ordered panera through uber and they took over a hour I was so upset with the services.,__disappointed__,irritated
I ordered a hamburger and when I got it there was a hair in it.,__disgusted__,irritated
My family was on a road trip earlier this week and had to stop at a gas station to use the bathroom. The bathroom looked clean but the 2 roaches said it wasn't.,__disgusted__,irritated
i was eating at a really fancy restaurant and found a little ball of hair in my food i was really disgusted,__disgusted__,irritated
the driver was sneezing horribly,__disgusted__,irritated
I went to pizza hut and the worker didn't wash her hands I was so sicken I just walked out.,__disgusted__,irritated
"I was trying to plan my wedding by getting a caterer, and they kept blowing us off over and over again.",__furious__,irritated
"An airline once lost my whole suitcase, it made me so upset!",__furious__,irritated
The garbage company for my town went under and left us without service.,__furious__,irritated
"I purchased a new phone online last week. When it got here, the box was empty. When I contacted the company, they initially refused to refund my money, and I got pretty angry.",__furious__,irritated
I just got notice that my mortgage payment has gone up this year and i'm so mad about it.,__furious__,irritated
"We recently went on vacation to the beach and there were several days of rain. This sucked, since we hadn't been to the beach in a very long time and really looking forward to being at the beach.",__disappointed__,irritated
"My girlfriend and I stayed the night out at her friends farm/homestead in Virginia. It smelled like manure everywhere, and they had no toilet in the house. On top of that, the whole house was covered in mold.",__disgusted__,irritated
My boyfriend and a couple friends went over to his mom's house to check on things. His brothers got into a fist fight while we were there and my boyfriend jumped in the middle.,__terrified__,irritated
One time a hurricane hit my city and it was so windy I couldn't sleep that night. I thought the wind would tear the roof off of the house,__afraid__,irritated
"Ten years ago now, a massive hurricane forced my family to evacuate. I didn't know if there would be anything to come back to.",__afraid__,irritated
I come home from work and my parents are always arguing. It frustrates me.,__annoyed__,irritated
"My co-worker discovered the cure for type two diabetes before me, and I just can't believe it. It was supposed to be my Nobel Prize, not his.",__jealous__,jealousy
I've been trying really hard to get a promotion at my company but they just hired someone to fill that spot from outside of the company.,__jealous__,jealousy
"I got passed over for a promotion at my job last week, even though I had more experience than the other people that applied.",__disappointed__,jealousy
My coworker got the promotion that I was trying for. I feel like I deserved it more.,__angry__,jealousy
I was one of three people in the running for a promotion at my job. I ended up not getting the job and a person with less experience got it.,__disappointed__,jealousy
"My neighbor bought a new Tesla, it's beautiful. I get a little mad every time I see it in the parking lot, especially as I'm riding past it on my beat up bicycle.",__jealous__,jealousy
My neighbor bought a new car. Now I really want one myself.,__jealous__,jealousy
My friend whom I haven't seen in a long time came to visit. She drove up in a really nice car and was dressed really well. She married a very wealthy man and I just a bit envious.,__jealous__,jealousy
My friend and I both entered a drawing at the mall for a weekend vacation last month and she won. I have to admit it stings a little that she won and I didn't.,__jealous__,jealousy
I was pretty envious when my best friend went on a 14 day cruise to Europe.,__jealous__,jealousy
I envy my friend who is off work today.,__jealous__,jealousy
I'm envious of my friends who are off work today.,__jealous__,jealousy
A friend of mine bought a new car. It was a model I had my eye on for some time.,__jealous__,jealousy
A friend of mine bought a scratch off ticket at the gas station and won $2000. I buy them all the time and only win a couple bucks here and there.,__jealous__,jealousy
"I hate getting last, I have always loved winning and there is nothing that makes me more angry than losing in something.",__angry__,jealousy
My daughter does not share things with me. I found out that she was moving out from my other daughter,__jealous__,jealousy
Brother probably getting a better car than me,__jealous__,jealousy
"My brother got a really high-paying job and now travels all over the world. He sends pictures and talks endlessly about everything he buys, everywhere he goes, and how much money he makes. It makes me feel insecure and like a failure.",__jealous__,jealousy
My parents bought my brother a brand new iPhone.,__jealous__,jealousy
My brother got a 4runner for this first car! I lowkey am pissed at him!,__jealous__,jealousy
My brother got my dream vehicle as his first car,__jealous__,jealousy
My sister in law and her fiance are taking all these trips abroad and we are struggling just to get our bills paid.,__jealous__,jealousy
My cousin just had his mom cosign on my dream car! He doesn't even have a job,__jealous__,jealousy
My brother bought a new car. I feel that he just did it to make me feel inferior.,__jealous__,jealousy
My little brother failed his french class and had to spend three weeks in summer school. It hurt my heart seeing him have to go to school while all his friends were having fun.,__sad__,jealousy
"My boyfriend has a female friend who he sometimes chooses to hang out with over me. We had a date planned last week, but he cancelled it to go to the movies with her. It's so frustrating.",__jealous__,jealousy
I recently let a girl slip through my fingers. She is now with somebody that I do not like.,__jealous__,jealousy
One of my friends recently bought a house. I really wish I could afford a house.,__jealous__,jealousy
My friend bought a house in a very cheap market town and 6 months later a very walthy company opened an enormous regional HQ there. His house has doubled in price and he has paid off all his debt and now is very well off. I'm pleased for him but envy a little luck,__jealous__,jealousy
My friend just recently moved to California--I have always wanted to live there,__jealous__,jealousy
My friend can eatanything and she is so skinny,__jealous__,jealousy
I work from home and sometimes it makes me a bit sad to know that I'm here alone.,__lonely__,loneliness
"Recently, I was the only person in the office. I had a large project to get done, and only talked to people on my way to the bathroom that day.",__lonely__,loneliness
My roommate has been gone all week. I don't have anything to do without him here.,__lonely__,loneliness
My roommate is gone for the week. I can't stand being alone in the apartment.,__lonely__,loneliness
My two best friends are going on vacation next week and I won't have anyone else at work to goof off with.,__lonely__,loneliness
"All of my friends have moved away, when I still live and work in the place where I grew up. Many local people my age do drugs and stay out all night, so I just stay in and keep to myself.",__lonely__,loneliness
I don't have many friends at my new school.,__lonely__,loneliness
I have felt lonely recently because I never go out and have no friends.,__lonely__,loneliness
I was going to go to the movies with a bunch of friends. But they all bailed on me and now I have to go alone.,__lonely__,loneliness
I was sad the other day because I found out a friend is moving. It's not that far and I didnt see her a lot anyway but still.,__sad__,loneliness
My best friend is moving to another town and i dont know when i will get to see her again.,__sad__,loneliness
A good friend of mine moved away recently and we lost contact. I really wish we would still speak.,__sad__,loneliness
A friend of mine is moving away. It's a shame because we were close for a few years.,__sad__,loneliness
I recently moved to a new city. I left behind some good friends.,__sentimental__,loneliness
My friends went to dinner without me. I thought they'd call for sure.,__lonely__,loneliness
I am sad that my friends don't visit me.,__sad__,loneliness
I went on a road trip to Utah a few months ago by myself and missed my friends.,__lonely__,loneliness
I started thinking about the last time I hung out with a group of friends before moving away.,__nostalgic__,loneliness
Me and my friend used to play nintendo all day long.,__nostalgic__,loneliness
I was looking back through pictures online of me and my friends years ago. It made me kind of wish I could be back then for a little while.,__nostalgic__,loneliness
I recently got together with some old college buddies and we just spend a weekend sitting around talking about the good ole times.,__nostalgic__,loneliness
"I was looking at old pictures of my friends and I. I sometimes wish I could go back to those days, at least for a while.",__nostalgic__,loneliness
This new trailer for Spyro Remastered really has me thinking about the times I used to play the original. The old friend I played it with I don't keep in touch with anymore.,__nostalgic__,loneliness
"A decade or so I designed an arcade machine for some friends of mine that owned a bar. They no longer own it, but I went back recently and our machine was still running. Playing it made me miss my buddy and all the good times we used to have.",__sentimental__,loneliness
I'm very socially awkward.,__anxious__,loneliness
Recently I've been feeling that I don't need a company to feel wholesome.,__lonely__,loneliness
When I was younger my mom would always have to go on a week long training for work every year and I would always miss her so much.,__lonely__,loneliness
my daughter went on vacation with her friends and the house feels really alone without her,__lonely__,loneliness
Today was the first day of school for my kids. It's been so quiet here.,__lonely__,loneliness
Besides my cats being with me I am always alone at home all the kids are grown and moved out.,__lonely__,loneliness
"I was feeling a bit apprehensive lately, since my children are going back to school. One to college, the other to high school. They grow up so fast!",__anxious__,loneliness
I am kind of glad the summer is coming to a end my kids was gone all summer I missed them and I was very isolated when they was away.,__lonely__,loneliness
My son is starting back to college in a few days. This made me think back to when he was smaller and realize how quick time goes by.,__nostalgic__,loneliness
"My youngest child started high school this year. It made me think back to when she was just started kindergarten, and how time flies!",__nostalgic__,loneliness
I am sad my cousin is moving away,__disappointed__,loneliness
"I've been married a long time, but my husband has to travel for business so I feel a little bit by myself sometimes.",__lonely__,loneliness
"I hate being alone so much, my husband works a lot of hours. He also works over an hour away that makes it rough.",__lonely__,loneliness
"My husband really is away from home quite often, due for his job. It can be hard at times, and make me feel a bit alone.",__lonely__,loneliness
My wife has been out of the country for 2 months for school. It's been a little tough being alone at home ever night.,__lonely__,loneliness
My wife went out of town for a girls weekend and I sat at home with the dog for 3 days by myself.,__lonely__,loneliness
"when my wife left me a year ago i went a little stir crazy. it was so silent in the house, i had to get out and make new friends.",__lonely__,loneliness
"My wife has been out of the country for school for a month and a half. She gets back in a couple weeks, but it's starting to get tough being alone with just the dogs.",__lonely__,loneliness
My husband works long hours. I hate being by myself specially at night.,__lonely__,loneliness
Two years ago my wife and I got divorced. It's been very strange in this big house all by myself.,__lonely__,loneliness
"My wife went out of the country for 2 months, it's almost over but it's been tough.",__lonely__,loneliness
My wife has been out of the country for 2 months.,__lonely__,loneliness
"My husband used to work out of town in a different state Sunday through Thursday. Even though my kids were with me and we kept to our usual routine, I still missed him very badly when he was gone. Every Sunday after he left, I would cry.",__lonely__,loneliness
My wife has been out of the country for a couple months for school. Dropping her off at the airport was really tough.,__sad__,loneliness
"I had a rough day, my husband has been out of town and the weather has been bad.",__sad__,loneliness
My wife went out of the country for school for 2 months at the beginning of the summer. Dropping her off at the airport was really hard.,__sad__,loneliness
One time I moved to a new city and didn't know anyone. I had to go out alone to do things,__lonely__,loneliness
I recently moved from California to North Carolina. It was ok while my friend (who drove me across the country) was here. But after he left I realized I knew absolutely nobody. It was not a good feeling.,__lonely__,loneliness
"After moving to Dallas from a small town I felt I would like it, but after a few weeks of not knowing anyone I got home sick.",__lonely__,loneliness
I used to feel lonely a lot as a teenager,__lonely__,loneliness
"I spent a Christmas working in a computer lab on a school project. My family were thousands of miles away celebrating together, but I had to work on my project by myself. It wasn't at all festive and I felt isolated.",__lonely__,loneliness
"I spent all weekend by myself, wish I was closer to my family.",__lonely__,loneliness
I was all alone when my family left for the weekend.,__lonely__,loneliness
I was upset when my family kept leaving me on vacation,__annoyed__,loneliness
"Half of my family didn't show up for my kids 6th birthday, it was upsetting to say the least. She was looking forward to seeing them.",__disappointed__,loneliness
i miss watching chiller theatre with my family on fridays,__nostalgic__,loneliness
I miss my family,__sad__,loneliness
I recently said goodbye to a good friend for a while. I love her!,__sad__,loneliness
I had given my two older daughters a small math assignment to do in my absensents. When I returned home they were playing video games and the work had not been done.,__angry__,missed expectation
"My best friend was going to travel from Wisconsin to see my this summer, but she ended up not being able to come.",__disappointed__,missed expectation
"I had planned a trip to Florida to see some old friends and go canoeing on the river. At the last minute (a day before) the people riding with me had to cancel, and I was forced to cancel the trip.",__disappointed__,missed expectation
"A friend was supposed to come an visit me this Summer, but he got a job up North and had to cancel. I had so been looking forward to his visit.",__disappointed__,missed expectation
"I knew a friend once, I always though that he would become somebody good, but I was wrong.",__disappointed__,missed expectation
"I had planned a bicycle tour with a friend of mine. At the last minute, he was unable to come on the trip with me. I ended up only doing about half the trip and flying home.",__lonely__,missed expectation
I was planning on going to a concert last night but I didn't go because I ended up not wanting to go by myself. I feel like I'm going to regret not going.,__anxious__,missed expectation
I was excited to go to a concert tonight but couldn't get myself to go by myself at the last minute and so I bailed. I'll probably regret it.,__anxious__,missed expectation
My Mother had called to set up a time to meet for lunch. When the time came she couldn't make it because of health problems.,__sad__,missed expectation
I am sad that my parents didn't attend my birthday,__sad__,missed expectation
"I had planned to take my daughters shopping a couple of weeks ago. We were all very excited about it, but the plans fell through. I was able to take them shopping later so that made me feel a little better.",__disappointed__,missed expectation
"I found out that my son got a B in one of his classes at the end of last year. I thought I had a truly exemplary, world-changing student on my hands. Now I know he's just...above average.",__disappointed__,missed expectation
"I havent seen my niece much lately. My sister wanted me to babysit, and I was excited to actually get to see her. But she had to cancel.",__disappointed__,missed expectation
I worked really hard with my daughter last year to learn her multiplication facts. I gave her a quiz last week and she failed.,__disappointed__,missed expectation
"My son failed a really important test. Now he might not be able to graduate, and I'm really disappointed in him.",__disappointed__,missed expectation
"I feel so bad that I have to work so much and can't play with my grandchild as much as she would like me too. She would play 24 hours a day if she could, but there is always so many other responsibilities to take care of.",__guilty__,missed expectation
My son was caught cheating on a test. I really thought we raised him better than to do such things.,__disappointed__,missed expectation
My birthday was last week. I never heard from my brother or sister to wish me happy birthday. I guess I expected to much and they let me down,__disappointed__,missed expectation
My sister lives in Utah. We had planned for her to come visit but her work would not allow her to take the time off.,__disappointed__,missed expectation
"My older brother always makes promises he can't keep. Recently, he said he was going to bring me out to sushi for my birthday, but he always postpones it.",__disappointed__,missed expectation
I felt bad because I told my sister in law I would help her with her books. After this last one I told her I had too much going on and couldn't do it no more.,__guilty__,missed expectation
I wanted to try this new pizza and it was terrible!,__disappointed__,missed expectation
One time there was a movie I wanted to see that had really good reviews. I went to see it and it was not very good at all,__disappointed__,missed expectation
"I recently ordered something online, and expected it to arrive last week. It's still not here!",__disappointed__,missed expectation
"it was really hard for me when i heard i didnt get accepted in my dream college, but i moved on and got into another one that was not as good",__devastated__,missed expectation
"I studied really hard for a physics exam and still didn't get a B, which I need for my major.",__disappointed__,missed expectation
"While in college, I was in the running for a scholarship. Despite being fully qualified to receive it and meeting the criteria, it was given to someone else. I really wanted that scholarship.",__jealous__,missed expectation
"I decided to go back to school this year. I'm was pretty hesitant at first, but now I'm excited about learning more!",__apprehensive__,missed expectation
"I studied really hard for a physics exam and still didn't get a B, which I need for my major.",__disappointed__,missed expectation
I was to see a house to hopefully rent. It was very nice and just perfect for me. The day before I was supposed to see it the property management lady called to say the owners had already rented it out. I felt so down - how could they do that?,__disappointed__,missed expectation
"I was trying to buy a piece of property that had came up on the market, but someone put in a offer quicker than I did and it was sold already.",__disappointed__,missed expectation
I'm in the middle of shopping for a house. One of the houses I really like was just taken off the market.,__disappointed__,missed expectation
"My cousin recently sent me a video she'd taken with her phone, It was a tour of my home village. What I saw horrified me and made me sick - they've built all manner of hideous buildings in really prominent places!",__disgusted__,missed expectation
I was annoyed when family missed my birthday,__annoyed__,missed expectation
"Once, I was turned down for a job that I really wanted and I felt I would be a good fit at. It was really downing.",__disappointed__,missed_expectation
I missed a chance to get a new job the other week. I really wish I had put my resume in sooner.,__ashamed__,missed_expectation
"I got turned down for a job I really wanted. I'd worked extremely hard to put myself in a position to have a decent chance of getting it, and I thought I interviewed really well. But when I found out someone else got the job I was extremely disappointed and demoralized.",__devastated__,missed_expectation
When I found out my job wasn't cracked up to what I thought it was.,__disappointed__,missed_expectation
"I got passed over for a promotion at work. The guy that got it was qualified, but I really wanted the job.",__disappointed__,missed_expectation
"I was working hard, hoping to get a raise after over 6 months of extra work and doing a great job, but it didn't happen. My boss kept me at the same pay.",__disappointed__,missed_expectation
I lost out on a job promotion.,__disappointed__,missed_expectation
I am doing work instead of playing with my dog. I'm paying a little attention to him but I have a goal I want to get to before I pay more attention to him.,__guilty__,owe
My cat puked all over my roommates shoes. I feel so bad.,__ashamed__,owe
"Well, last night I was so fed-up with the racket coming from the upstairs apartment, I put jazz music on quite loudly and went to bed. I really shouldn't have done that!",__ashamed__,owe
One time I was playing basketball and I accidentally slapped a girl in the face. I felt so bad about it.,__ashamed__,owe
"I ran into my neighbor's mailbox but didn't stop to leave a note. When I saw him replacing it, I felt so bad that I had to confess. He was angry that I did it, but glad that I came forward.",__guilty__,owe
I felt bad when I cut someone off in traffic this morning.,__guilty__,owe
I was so embarrassed when i threw up in public one day. I was feeling really sick and i couldnt help it.,__ashamed__,owe
I lost the book that my friend let me borrow. I feel so embarrassed.,__ashamed__,owe
I borrowed a book from a friend and left it outside. It got ruined by the rain.,__ashamed__,owe
"My friend's boyfriend had made sexual advances towards me, which I turned him away. But, I felt very bad for not telling my friend.",__ashamed__,owe
I feel guilty because I couldn't go to my friends party.,__guilty__,owe
"We were over at our friend's house for a dinner and I was in the kitchen helping her cook. I had melted butter in a baking dish to make dessert, and I poured cold milk into it like the recipe said to do. It ended up cracking the dish. I felt bad. I offered to buy her a new one.",__guilty__,owe
I feel guilty for eating my housemates last chocolate bar.,__guilty__,owe
I played poker against a friend who wasn't really good. I won and took over $100 from him. I felt bad about it the next day.,__guilty__,owe
A friend left some candy out and I took some. I feel like paying him back for what I took.,__guilty__,owe
I feel so bad I lied to my friend.,__guilty__,owe
"I didn't tell my friend when her boyfriend hit on me. I felt very bad and wrong for that, even though I turned him down, of course.",__guilty__,owe
When I almost got caught stealing I felt bad.,__ashamed__,owe
I stole some candy from the grocery store. I wanted to see if I could get away with it.,__guilty__,owe
I was bowling and I accidentally used the person's ball next to me.,__guilty__,owe
I forgot to take some water bottles out from under my cart. I left with my groceries and ended up just taking the bottles and realized I didn't pay later.,__guilty__,owe
I felt bad about sleeping in today.,__guilty__,owe
When i was a child a stole my mother's card details to pay for a subscription.,__ashamed__,owe
A couple years ago I forgot my grandmother's birthday. I felt so bad about it.,__ashamed__,owe
As a mom I sometimes treat myself to something tasty when I make it out alone. I snuck an ice cream cone the other day.,__guilty__,owe
"I felt pretty bad one time when I lied to my mother about where I was going. I don't like to be dishonest with her, so my conscience was feeling rough!",__guilty__,owe
I told a lie to my mother.,__guilty__,owe
I forgot that I had made plans with my mother over the weekend. We had been planning it for a few days I feel awful.,__guilty__,owe
"When i was a kid, my sister and i stole one of my moms checks from her checkbook and ordered a pizza. When she found out she was so mad! I felt terrible about it.",__guilty__,owe
I needed lunch money for school because I had bought extra things during lunch. I wasn't supposed to do that. I stole money out of my dad's wallet to cover my negative account balance at school.,__guilty__,owe
I lied to my mother about my results,__guilty__,owe
"Recently, I had an argument with a friend. I called her out on her behavior to her face, but my daughter overheard me discussing it with my husband and thought that I had talked behind my friend's back, so she thought that I was being two-faced and we had to have a whole conversation about it. I felt guilty even though I didn't do anything wrong.",__ashamed__,owe
I lost my temper with my daughter the other day and was a bit ill with her. I felt so bad that I had raised my voice and hurt her feelings.,__ashamed__,owe
The other day I got into an argument with my 19 year old son. I became so angry with his behavior that I called him names and said things i didnt mean. I still feel badly about it.,__ashamed__,owe
"I got upset at my oldest son because he shows such lack of motivation. While gettting on him might have been warranted, I feel bad for getting upset.",__guilty__,owe
I snuck some candy out of my daughter's snack stash.,__guilty__,owe
I ate a lot of my kid's Halloween candy. I told her the candy was old and I had to throw it away.,__guilty__,owe
"I forgot I had planned to pick up my brother from work the other day. He had to wait for me to get there, I felt like such a jerk.",__ashamed__,owe
I did not invite my sister to a party she wanted to come to. She felt hurt.,__guilty__,owe
My sister was recently in town to visit my dad and i didn't go and see her. I avoided her.,__guilty__,owe
I forgot it was my sisters birthday. I just saw on Facebook that it was yesterday. I feel so bad!,__guilty__,owe
I let my sister drive my car to run to the store knowing she didnt have her license. She got stopped and got a ticket!,__guilty__,owe
"I was really mean to my sister as a child, and I still feel bad about it. She's sensitive and I know it probably still bothers her.",__guilty__,owe
